JKL,ATC ,INN,Zašti?eno ime leka,FO,Pakovanje i ja?ina  leka,Naziv proizvo?a?a leka,Država proizvodnje leka,Cena leka na veliko za pakovanje,DDD,Cena leka na veliko po DDD,Participacija osiguranog lica,Indikacija,Napomena
1102520,C01DX12,molsidomin,MOLICOR,tableta,"blister, 30 po 2 mg",Union-Medic d.o.o. Novi Sad,Republika Srbija,144.50,-,-,50.00,,
1102521,C01DX12,molsidomin,MOLICOR  RETARD,tableta sa produženim osloba?anjem,"blister, 20 po 8 mg",Union-Medic d.o.o. Novi Sad,Republika Srbija,258.60,-,-,50.00,Teška (ozbiljna) angina pektoris koja ne reaguje na uobi?ajene doze molsidomina.,
1102519,C01DX12,molsidomin,MOLICOR,tableta,"blister, 60 po 2 mg",Union-Medic d.o.o Novi Sad,Republika Srbija,289.10,-,-,50.00,,
1103432,C02AB02,metildopa (racemat),METHYLDOPA ,film tableta, 20 po 250 mg,Hemofarm a.d.,Republika Srbija,169.20,2 g,67.68,50.00,  Hipertenzija u trudno?i (O10; O11; O13-O15).,  Lek se u terapiju uvodi na osnovu mišljenja interniste ili kardiologa ili ginekologa.
1103374,C02KX01,bosentan,CARDISTEPS,film tableta," blister, 60 po 125 mg",Balkanpharma-Dupnitsa  AD,Bugarska,"43,298.60","0,25 g","1,443.29",50.00,"1. Plu?na arterijska hipertenzija udružena sa kongenitalnim sistemsko-pulmonalnim šantom i Eisenmengerovom fiziologijom (I27.8);
2. Primarne (idiopatske i nasledne) plu?ne arterijske hipertenzije (I27.0; I27.2; I27.8);
3. Plu?na arterijska hipertenzija kao posledica sklerodermije, bez zna?ajne intersticijalne bolesti plu?a (I27.0; I27.2)",Lek se uvodi u terapiju na osnovu mišljenja tri lekara zdravstvene ustanove tercijarnog nivoa zdravstvene zaštite.
1103379,C02KX01,bosentan,CASCATA,film tableta,"blister, 56 po 62,5 mg",Hemofarm AD Vršac,Republika Srbija,"33,727.40","0,25 g","2,409.10",50.00,"1. Plu?na arterijska hipertenzija udružena sa kongenitalnim sistemsko-pulmonalnim šantom i Eisenmengerovom fiziologijom (I27.8);
2. Primarne (idiopatske i nasledne) plu?ne arterijske hipertenzije (I27.0; I27.2; I27.8);
3. Plu?na arterijska hipertenzija kao posledica sklerodermije, bez zna?ajne intersticijalne bolesti plu?a (I27.0; I27.2)",Lek se uvodi u terapiju na osnovu mišljenja tri lekara zdravstvene ustanove tercijarnog nivoa zdravstvene zaštite.
1103378,C02KX01,bosentan,CASCATA,film tableta,"blister, 56 po 125 mg",Hemofarm AD Vršac,Republika Srbija,"40,412.00","0,25 g","1,443.29",50.00,"1. Plu?na arterijska hipertenzija udružena sa kongenitalnim sistemsko-pulmonalnim šantom i Eisenmengerovom fiziologijom (I27.8);
2. Primarne (idiopatske i nasledne) plu?ne arterijske hipertenzije (I27.0; I27.2; I27.8);
3. Plu?na arterijska hipertenzija kao posledica sklerodermije, bez zna?ajne intersticijalne bolesti plu?a (I27.0; I27.2)",Lek se uvodi u terapiju na osnovu mišljenja tri lekara zdravstvene ustanove tercijarnog nivoa zdravstvene zaštite.
1103380,C02KX01,bosentan,IPERTAZIN,film tableta,"blister, 56 po 62,5 mg",Pharmascience International Limited,Kipar,"33,727.40","0,25 g","2,409.10",50.00,"1. Plu?na arterijska hipertenzija udružena sa kongenitalnim sistemsko-pulmonalnim šantom i Eisenmengerovom fiziologijom (I27.8);
2. Primarne (idiopatske i nasledne) plu?ne arterijske hipertenzije (I27.0; I27.2; I27.8);
3. Plu?na arterijska hipertenzija kao posledica sklerodermije, bez zna?ajne intersticijalne bolesti plu?a (I27.0; I27.2)",Lek se uvodi u terapiju na osnovu mišljenja tri lekara zdravstvene ustanove tercijarnog nivoa zdravstvene zaštite.
1103381,C02KX01,bosentan,IPERTAZIN,film tableta,"blister, 56 po 125 mg",Pharmascience International Limited,Kipar,"40,412.00","0,25 g","1,443.29",50.00,"1. Plu?na arterijska hipertenzija udružena sa kongenitalnim sistemsko-pulmonalnim šantom i Eisenmengerovom fiziologijom (I27.8);
2. Primarne (idiopatske i nasledne) plu?ne arterijske hipertenzije (I27.0; I27.2; I27.8);
3. Plu?na arterijska hipertenzija kao posledica sklerodermije, bez zna?ajne intersticijalne bolesti plu?a (I27.0; I27.2)",Lek se uvodi u terapiju na osnovu mišljenja tri lekara zdravstvene ustanove tercijarnog nivoa zdravstvene zaštite.
1400410,C03AA03,hidrohlortiazid,DIUNORM,tableta,"blister, 20 po 25 mg",Slaviamed d.o.o.,Republika Srbija,103.50,25 mg,5.18,50.00,,
1400142,C03CA01,furosemid,LASIX,tableta,"blister, 12 po 40 mg",Sanofi Winthrop Industrie ,Francuska,58.50,40 mg,4.88,50.00,Terapija stanja koja se karakterišu retencijom te?nosti i za terapiju blage do umerene hipertenzije bilo kao monoterapija ili kao adjuvantna terapija.,
1400473,C03CA01,furosemid,FUROSEMID BELUPO,tableta,"blister, 20 po 40 mg","Belupo, Lijekovi i kozmetika d.d.",Hrvatska,87.70,40 mg,4.39,50.00,Terapija stanja koja se karakterišu retencijom te?nosti i za terapiju blage do umerene hipertenzije bilo kao monoterapija ili kao adjuvantna terapija.,
1400001,C03CA01,furosemid,FUROSEMIDUM POLFARMEX,tableta,"blister, 30 po 40 mg",Polfarmex S.A.,Poljska,131.50,40 mg,4.38,50.00,Terapija stanja koja se karakterišu retencijom te?nosti i za terapiju blage do umerene hipertenzije bilo kao monoterapija ili kao adjuvantna terapija.,
1400041,C03CA02,bumetanid,YURINEX ,tableta,"blister, 20 po 1 mg",Hemofarm a.d.,Republika Srbija,208.00,1 mg,10.40,50.00,,
1400440,C03DA01,spironolakton,SPIRONOLAKTON ,tableta,"blister, 40 po 25 mg",Galenika a.d.,Republika Srbija,296.80,75 mg,22.26,50.00,,
1400441,C03DA01,spironolakton,SPIRONOLAKTON ,tableta,"blister, 30 po 100 mg",Galenika a.d.,Republika Srbija,566.90,75 mg,14.17,50.00,,
1401290,C03EA..,"metiklotiazid,
amilorid",LOMETAZID,tableta,"blister, 30 po (5 mg +10 mg )",Galenika a.d.,Republika Srbija,147.10,1 tableta,4.90,50.00,,
1400400,C03EA01,"hidrohlortiazid, amilorid",HEMOPRES,tableta,"blister, 40 po (50 mg + 5 mg)",Hemofarm a.d.,Republika Srbija,173.90,1 tableta,4.35,50.00,,
1107183,C07AA05,propranolol,PROPRANOLOL ,tableta," blister, 50 po 40 mg",Galenika a.d.,Republika Srbija,201.80,"0,16 g",16.14,50.00,,
1107496,C07AB02,metoprolol,PRESOLOL ,film tableta,"blister, 30 po 100 mg",Hemofarm a.d.,Republika Srbija,138.90,"0,15 g",6.95,50.00,,
1107750,C07AB02,metoprolol,PRESOLOL ,film tableta,"blister, 28 po 50 mg",Hemofarm a.d.,Republika Srbija,67.00,"0,15 g",7.18,50.00,,
1107751,C07AB02,metoprolol,PRESOLOL ,film tableta,"blister, 56 po 50 mg",Hemofarm a.d.,Republika Srbija,134.00,"0,15 g",7.18,50.00,,
1107580,C07AB02,metoprolol,CORVITOL 50,tableta,"blister, 30 po 50 mg",Berlin-Chemie AG ,Nema?ka,71.80,"0,15 g",7.18,50.00,,
1107582,C07AB02,metoprolol,CORVITOL 100,tableta,"blister, 30 po 100 mg",Berlin-Chemie AG ,Nema?ka,138.90,"0,15 g",6.95,50.00,,
1107990,C07AB02,metoprolol,MEKSENA,film tableta,"blister, 30 po 50 mg",Alkaloid AD Skopje,Republika Makedonija,71.80,"0,15 g",7.18,50.00,,
1107991,C07AB02,metoprolol,MEKSENA,film tableta,"blister, 30 po 100 mg",Alkaloid AD Skopje,Republika Makedonija,138.90,"0,15 g",6.95,50.00,,
1107170,C07AB03,atenolol,PRINORM,tableta,"blister, 14 po 100 mg",Galenika a.d.,Republika Srbija,97.50,75 mg,5.22,50.00,,
1107042,C07AB07,bisoprolol,BISOPROLOL PHARMAS,tableta,"blister, 30 po 2,5 mg",PharmaS d.o.o.,Republika Srbija,100.90,10 mg,13.45,50.00,,
1107020,C07AB07,bisoprolol,BISOPROLOL PHARMAS,tableta,"blister, 30 po 5 mg",PharmaS d.o.o.,Republika Srbija,143.60,10 mg,9.57,50.00,,
1107021,C07AB07,bisoprolol,BISOPROLOL PHARMAS,tableta,"blister, 30 po 10 mg",PharmaS d.o.o.,Republika Srbija,250.10,10 mg,8.34,50.00,,
1107023,C07AB07,bisoprolol,TENSEC,film tableta,"blister, 30 po 5 mg",Hemofarm a.d.,Republika Srbija,143.60,10 mg,9.57,50.00,,
1107022,C07AB07,bisoprolol,TENSEC,film tableta,"blister, 30 po 10 mg",Hemofarm a.d.,Republika Srbija,250.10,10 mg,8.34,50.00,,
1107026,C07AB07,bisoprolol,BYOL,film tableta,"blister, 30 po 2,5 mg","Ufar d.o.o. u saradnji sa Sandoz Pharmaceuticals d.d. Slovenija; 
Lek S.A.","Republika Srbija;
Poljska",100.90,10 mg,13.45,50.00,,
1107027,C07AB07,bisoprolol,BYOL,film tableta,"blister, 30 po 5 mg","Ufar d.o.o. u saradnji sa Sandoz Pharmaceuticals d.d. Slovenija; 
Lek S.A.","Republika Srbija;
Poljska",143.60,10 mg,9.57,50.00,,
1107025,C07AB07,bisoprolol,BYOL,film tableta,"blister, 30 po 10 mg","Ufar d.o.o. u saradnji sa Sandoz Pharmaceuticals d.d. Slovenija; 
Lek S.A.","Republika Srbija;
Poljska",250.10,10 mg,8.34,50.00,,
1107035,C07AB07,bisoprolol,BIPREZ,film tableta,"blister, 30 po 2,5 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,100.90,10 mg,13.45,50.00,,
1107036,C07AB07,bisoprolol,BIPREZ,film tableta,"blister, 30 po 5 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,143.60,10 mg,9.57,50.00,,
1107037,C07AB07,bisoprolol,BIPREZ,film tableta,"blister, 30 po 10 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,250.10,10 mg,8.34,50.00,,
1107048,C07AB07,bisoprolol,BISPROL,film tableta,"blister, 30 po 5 mg",Galenika a.d.,Republika Srbija,143.60,10 mg,9.57,50.00,,
1107049,C07AB07,bisoprolol,BISPROL,film tableta,"blister, 30 po 10 mg",Galenika a.d.,Republika Srbija,250.10,10 mg,8.34,50.00,,
1107605,C07AB07,bisoprolol,CONCOR COR,film tableta,"blister, 30 po 1,25 mg",Merck S.L; Merck KGaA&Co.WERK SPITTAL; Merck KGaA,Španija; Austrija;Nema?ka,198.00,10 mg,52.80,50.00,,
1107060,C07AB07,bisoprolol,SOBYCOR,film tableta,"30 po 2,5 mg",Krka tovarna Zdravil d.d.,Slovenija,100.90,10 mg,13.45,50.00,,
1107061,C07AB07,bisoprolol,SOBYCOR,film tableta,30 po 5 mg,Krka tovarna Zdravil d.d.,Slovenija,143.60,10 mg,9.57,50.00,,
1107062,C07AB07,bisoprolol,SOBYCOR,film tableta,30 po 10 mg,Krka tovarna Zdravil d.d.,Slovenija,250.10,10 mg,8.34,50.00,,
1107501,C07AB07,bisoprolol,BISOPROLOL ATB,film tableta,"blister, 30 po 5 mg",S.C. Antibiotice S.A.,Rumunija,143.60,10 mg,9.57,50.00,,
1107502,C07AB07,bisoprolol,BISOPROLOL ATB,film tableta,"blister, 30 po 10 mg",S.C. Antibiotice S.A.,Rumunija,250.10,10 mg,8.34,50.00,,
1107606,C07AB07,bisoprolol,CONCOR COR,film tableta,"blister, 30 po 3,75 mg",Merck S.L.; Merck KGaA & Co. Werk Spittal; Merck KGaA,Španija; Austrija; Nema?ka,313.20,10 mg,27.84,50.00,,
1107040,C07AB07,bisoprolol,BYOL,film tableta,"blister, 30 po 2,5 mg",Lek S.A.,Poljska,100.90,10 mg,13.45,50.00,,
1107041,C07AB07,bisoprolol,BYOL,film tableta,"blister, 30 po 5 mg",Lek S.A.,Poljska,143.60,10 mg,9.57,50.00,,
1107050,C07AB07,bisoprolol,BYOL,film tableta,"blister, 30 po 10 mg",Lek S.A.,Poljska,250.10,10 mg,8.34,50.00,,
1107625,C07AG02,karvedilol,KARVILEKS,tableta,"blister, 30 po 12,5 mg",Zdravlje a.d.,Republika Srbija,136.60,"37,5 mg",13.66,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107659,C07AG02,karvedilol,MILENOL,tableta," blister, 30 po 12.5 mg",Hemofarm A.D,Republika Srbija,136.60,37.5 mg,13.66,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107658,C07AG02,karvedilol,MILENOL,tableta,"blister, 30 po 25 mg",Hemofarm A.D,Republika Srbija,210.60,37.5 mg,10.53,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107673,C07AG02,karvedilol,CORYOL,tableta,"blister, 28 po 6,25 mg",Krka Tovarna Zdravil d.d.,Slovenija,159.70,"37,5 mg",34.22,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107676,C07AG02,karvedilol,CORYOL,tableta,"blister, 28 po 12,5 mg",Krka Tovarna Zdravil d.d.,Slovenija,127.50,"37,5 mg",13.66,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107833,C07AG02,karvedilol,KARVOL,tableta,"blister, 30 po 12,5 mg",Ave Pharmaceutical d.o.o.,Republika Srbija,136.60,"37,5 mg",13.66,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107834,C07AG02,karvedilol,KARVOL,tableta,"blister, 30 po 25 mg",Ave Pharmaceutical d.o.o.,Republika Srbija,210.60,"37,5 mg",10.53,50.00,  Sr?ana insuficijencija (I50).    ,  Lek se uvodi u terapiju na osnovu mišljenja kardiologa.
1107024,C07BB07,"bisoprolol, hidrohlortiazid",TENSEC plus,film tableta,"blister, 30 po (5 mg +12,5 mg)",Hemofarm a.d.,Republika Srbija,186.50,1 tableta,6.22,50.00,"Za le?enje esencijalne arterijske hipertenzije (I10) ukoliko se tromese?no le?enje pojedina?nim lekovima koji se koriste za le?enje hipertenzije, uklju?uju?i le?enje sa više pojedina?nih lekova istovremeno, pokazalo nedovoljno efikasno.",
1402140,C08CA01,amlodipin,AMLOGAL,tableta,"blister, 20 po 5 mg",Galenika a.d.,Republika Srbija,50.40,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402141,C08CA01,amlodipin,AMLOGAL,tableta,"blister, 20 po 10 mg",Galenika a.d.,Republika Srbija,61.10,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402139,C08CA01,amlodipin,AMLOGAL,tableta,"blister, 30 po 5 mg",Galenika a.d Beograd,Republika Srbija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402142,C08CA01,amlodipin,AMLOGAL,tableta,"blister, 30 po 10 mg",Galenika a.d Beograd,Republika Srbija,91.60,5mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402146,C08CA01,amlodipin,AMLODIPIN,tableta,"blister, 20 po 5 mg",Union-Medic d.o.o. Novi Sad,Republika Srbija,50.40,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402147,C08CA01,amlodipin,AMLODIPIN,tableta,"blister, 20 po 10 mg",Union-Medic d.o.o. Novi Sad,Republika Srbija,61.10,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402850,C08CA01,amlodipin ,AMLODIPIN,tableta,"blister, 30 po 5 mg",M.D. Nini d.o.o.,Republika Srbija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402851,C08CA01,amlodipin ,AMLODIPIN,tableta,"blister, 30 po 10 mg",M.D. Nini d.o.o.,Republika Srbija,91.60,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402956,C08CA01,amlodipin ,AMLODIPIN ALKALOID,tableta,"blister, 30 po 5 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402833,C08CA01,amlodipin ,AMLODIPIN ALKALOID,tableta,"blister, 30 po 10 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,91.60,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402852,C08CA01,amlodipin ,TENOX,tableta,"blister, 30 po 5 mg",Krka Tovarna Zdravil d.d. ,Slovenija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402853,C08CA01,amlodipin ,TENOX,tableta,"blister, 30 po 10 mg",Krka Tovarna Zdravil d.d. ,Slovenija,91.60,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402000,C08CA01,amlodipin ,CARDIPINE,tableta,"blister, 20 po 5 mg",Ave Pharmaceutical d.o.o.,Republika Srbija,50.40,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402001,C08CA01,amlodipin ,CARDIPINE,tableta,"blister, 20 po 10 mg",Ave Pharmaceutical d.o.o.,Republika Srbija,61.10,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402666,C08CA01,amlodipin,CARDIPINE,tableta,"blister, 30 po 5mg",Ave Pharmaceutical d.o.o,Republika Srbija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402002,C08CA01,amlodipin,CARDIPINE,tableta,"blister, 30 po 10mg",Ave Pharmaceutical d.o.o,Republika Srbija,91.60,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402878,C08CA01,amlodipin,VAZOTAL,tableta,"blister, 30 po 5 mg",Hemofarm a.d.,Republika Srbija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402877,C08CA01,amlodipin,VAZOTAL,tableta,"blister, 30 po 10 mg",Hemofarm a.d.,Republika Srbija,91.60,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402874,C08CA01,amlodipin,AMLODIPIN SANDOZ,tableta,"blister, 30 po 5 mg",Lek Farmacevtska Družba d.d.,Slovenija,75.70,5 mg,2.52,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402876,C08CA01,amlodipin,AMLODIPIN SANDOZ,tableta,"blister, 30 po 10 mg",Lek Farmacevtska Družba d.d.,Slovenija,91.60,5 mg,1.53,50.00,"  1. Angina pektoris (I20),
  2. Arterijska hipertenzija ( I10; I11; I12; I13; I15  ).",
1402481,C08CA05,nifedipin,NIFELAT  ,tableta sa produženim osloba?anjem,"blister, 30 po 20 mg",Zdravlje a.d.,Republika Srbija,167.40,30 mg,8.37,50.00,,
1402703,C08DA01,verapamil,VERAPAMIL,film tableta,"blister, 30 po 40 mg",Hemofarm a.d.,Republika Srbija,68.40,"0,24 g",13.68,50.00,,
1402704,C08DA01,verapamil,VERAPAMIL,film tableta,"blister, 50 po 80 mg",Hemofarm a.d.,Republika Srbija,154.70,"0,24 g",9.28,50.00,,
1402721,C08DA01,verapamil,IZOPAMIL ,film tableta," blister, 45 po 80 mg",Galenika a.d.,Republika Srbija,139.20,"0,24 g",9.28,50.00,,
1402120,C08DA01,verapamil,VERAPAMIL ALKALOID,obložena tableta,"blister, 30 po 40 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,68.40,"0,24 g",13.68,50.00,,
1402121,C08DA01,verapamil,VERAPAMIL ALKALOID,obložena tableta,"blister, 30 po 80 mg",Alkaloid d.o.o. Beograd; Alkaloid a.d. Skopje,Republika Srbija; Republika Makedonija,92.80,"0,24 g",9.28,50.00,,
1402250,C08DB01,diltiazem,CORTIAZEM RETARD,film tableta sa modifikovanim osloba?anjem ,"blister, 30 po 90 mg",Hemofarm a.d.,Republika Srbija,204.30,"0,24 g",18.16,50.00,,
1402203,C08DB01,diltiazem,DILTIAZEM ALKALOID,tableta sa produženim osloba?anjem,"blister, 30 po 90 mg",Alkaloid a.d. Skoplje; Alkaloid d.o.o. Beograd,Republika Makedonija; Republika Srbija ,204.30,"0,24 g",18.16,50.00,,
1103630,C09AA01,kaptopril,ZORKAPTIL,tableta,"blister, 40 po 25 mg",Hemofarm a.d.,Republika Srbija,132.50,50 mg,6.63,50.00,,
1103631,C09AA01,kaptopril,ZORKAPTIL,tableta," bo?ica plasti?na, 40 po 50 mg",Hemofarm a.d.,Republika Srbija,265.00,50 mg,6.63,50.00,,
1103220,C09AA01,kaptopril,KATOPIL,tableta," blister, 40 po 25 mg",Galenika a.d.,Republika Srbija,132.50,50 mg,6.63,50.00,,
1103222,C09AA01,kaptopril,KATOPIL,tableta," blister, 40 po 50 mg",Galenika a.d.,Republika Srbija,265.00,50 mg,6.63,50.00,,
1103578,C09AA02,enalapril,PRILENAP,tableta,"blister, 30 po 10 mg",Hemofarm a.d,Republika Srbija,148.40,10 mg,4.95,50.00,,
1103579,C09AA02,enalapril,PRILENAP,tableta,"blister, 30 po 20 mg",Hemofarm a.d,Republika Srbija,292.80,10 mg,4.88,50.00,,
1103178,C09AA02,enalapril,ENALAPRIL ZDRAVLJE ACTAVIS,tableta,"blister, 30 po 10 mg",Zdravlje a.d.,Republika Srbija,148.40,10 mg,4.95,50.00,,
1103176,C09AA02,enalapril,ENALAPRIL ZDRAVLJE ACTAVIS,tableta,"blister, 30 po 20 mg",Zdravlje a.d.,Republika Srbija,292.80,10 mg,4.88,50.00,,
1103886,C09AA02,enalapril,ENALAPRIL REMEDICA,tableta,"blister, 20 po 10 mg",Remedica Ltd,Kipar,98.90,10 mg,4.95,50.00,,
1103885,C09AA02,enalapril,ENALAPRIL REMEDICA,tableta,"blister, 20 po 20 mg",Remedica Ltd,Kipar,195.20,10 mg,4.88,50.00,,
1103204,C09AA02,enalapril,ENAP,tableta,"blister deljiv na pojedina?ne doze, 20 po 5mg",Krka D.D.,Slovenija,61.80,10mg,6.18,50.00,,
1103200,C09AA02,enalapril,ENAP,tableta,"blister deljiv na pojedina?ne doze, 20 po 10mg",Krka D.D.,Slovenija,98.90,10mg,4.95,50.00,,
1103202,C09AA02,enalapril,ENAP,tableta,"blister deljiv na pojedina?ne doze, 20 po 20mg",Krka D.D.,Slovenija,195.20,10mg,4.88,50.00,,
1103179,C09AA02,enalapril,ENALAPRIL ZDRAVLJE ACTAVIS,tableta,"blister, 60 po 10 mg",Zdravlje AD Leskovac,Republika Srbija,296.80,10 mg,4.95,50.00,,
1103167,C09AA02,enalapril,ENALAPRIL ZDRAVLJE ACTAVIS,tableta,"blister, 60 po 20 mg",Zdravlje AD Leskovac,Republika Srbija,585.60,10 mg,4.88,50.00,,
1103565,C09AA03,lizinopril,SKOPRYL,tableta,"blister, 20 po 10 mg",Alkaloid d.o.o. Beograd; Alkaloid ad Skopje,Republika Srbija; Republika Makedonija,72.40,10 mg,3.62,50.00,,
1103566,C09AA03,lizinopril,SKOPRYL,tableta,"blister, 20 po 20 mg",Alkaloid d.o.o. Beograd; Alkaloid ad Skopje,Republika Srbija; Republika Makedonija,198.00,10 mg,4.95,50.00,,
1103567,C09AA03,lizinopril,SKOPRYL,tableta,"blister, 30 po 10 mg",Alkaloid d.o.o. Beograd; Alkaloid ad Skopje,Republika Srbija; Republika Makedonija,108.70,10 mg,3.62,50.00,,
1103568,C09AA03,lizinopril,SKOPRYL,tableta,"blister, 30 po 20 mg",Alkaloid d.o.o. Beograd; Alkaloid ad Skopje,Republika Srbija; Republika Makedonija,297.00,10 mg,4.95,50.00,,
1103550,C09AA03,lizinopril,IRUMED,tableta," blister, 30 po 5 mg","Belupo, Lijekovi i kozmetika d.d.",Hrvatska,88.00,10 mg,5.87,50.00,,
1103551,C09AA03,lizinopril,IRUMED,tableta," blister, 30 po 20 mg","Belupo, Lijekovi i kozmetika d.d.",Hrvatska,297.00,10 mg,4.95,50.00,,
1103867,C09AA03,lizinopril,LIZOPRIL,tableta,"blister, 20 po 5 mg",Bosnalijek D.D.,Bosna i Hercegovina,58.70,10 mg,5.87,50.00,,
1103866,C09AA03,lizinopril,LIZOPRIL,tableta,"blister, 20 po 10 mg",Bosnalijek D.D.,Bosna i Hercegovina,72.40,10 mg,3.62,50.00,,
1103865,C09AA03,lizinopril,LIZOPRIL,tableta,"blister, 20 po 20 mg",Bosnalijek D.D.,Bosna i Hercegovina,198.00,10 mg,4.95,50.00,,
1103873,C09AA03,lizinopril,LIZINOPRIL ATB,tableta,"blister, 30 po 10 mg",S.C. Antibiotice S.A.,Rumunija,108.70,10 mg,3.62,50.00,,
1103874,C09AA03,lizinopril,LIZINOPRIL ATB,tableta,"blister, 30 po 20 mg",S.C. Antibiotice S.A.,Rumunija,297.00,10 mg,4.95,50.00,,
1103879,C09AA03,lizinopril,IRUMED,tableta,"blister, 30 po 10 mg","Belupo, Lijekovi i kozmetika d.d.",Hrvatska,108.70,10 mg,3.62,50.00,,
1103018,C09AA05,ramipril,RAMITENS,tableta,"blister, 30 po 5 mg",PharmaSwiss d.o.o.,Republika Srbija,202.80,"2,5 mg",3.38,50.00,,
1103722,C09AA05,ramipril,TRITACE,tableta," blister, 28 po 2,5 mg",Sanofi S.P.A.,Italija,108.70,"2,5 mg",3.88,50.00,,
1103723,C09AA05,ramipril,TRITACE,tableta," blister, 28 po 5 mg",Sanofi S.P.A.,Italija,189.30,"2,5 mg",3.38,50.00,,
1103724,C09AA05,ramipril,TRITACE,tableta,"blister, 28 po 10 mg",Sanofi S.P.A.,Italija,271.50,"2,5 mg",2.42,50.00,,
1103012,C09AA05,ramipril,VIVACE,tableta,"blister, 28 po 1,25 mg",Zdravlje a.d Leskovac; Actavis LTD.;    Balkanpharma-Dupnitsa ad                        ,Republika Srbija; Malta;   Bugarska     ,86.50,"2,5 mg",6.18,50.00,,
1103013,C09AA05,ramipril,VIVACE,tableta,"blister, 28 po 2,5 mg",Zdravlje a.d Leskovac; Actavis LTD.;    Balkanpharma-Dupnitsa ad                        ,Republika Srbija; Malta;   Bugarska       ,108.70,"2,5 mg",3.88,50.00,,
1103083,C09AA05,ramipril,VIVACE,tableta,"blister, 28 po 5 mg",Zdravlje a.d Leskovac; Actavis LTD.; Balkanpharma-Dupnitsa ad                        ,Republika Srbija; Malta; Bugarska       ,189.30,"2,5 mg",3.38,50.00,,
